group,source,uncertainty_layer,count
source,P-1GPa,,30
source,P-5GPa,,12
source,P-10GPa,,15
source,P-20GPa,,6
source,P-30GPa,,15
source,P-40GPa,,8
source,P-50GPa,,14
uncertainty_layer,,U-below-tail,95
uncertainty_layer,,U-ge-tail,5
source_layer,P-1GPa,U-below-tail,28
source_layer,P-1GPa,U-ge-tail,2
source_layer,P-5GPa,U-below-tail,11
source_layer,P-5GPa,U-ge-tail,1
source_layer,P-10GPa,U-below-tail,15
source_layer,P-20GPa,U-below-tail,5
source_layer,P-20GPa,U-ge-tail,1
source_layer,P-30GPa,U-below-tail,15
source_layer,P-40GPa,U-below-tail,7
source_layer,P-40GPa,U-ge-tail,1
source_layer,P-50GPa,U-below-tail,14
